Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C3 C4 ,4,"47n","Capacitor_SMD:C_0805_2012Metric","~"
C11 C12 C15 ,3,"10u","Capacitor_SMD:CP_Elec_4x5.8","~"
C19 C20 ,2,"22p","Capacitor_SMD:C_0805_2012Metric","~"
C10 C13 C14 C16 C17 C18 C5 C7 C9 ,9,"100n","Capacitor_SMD:C_0805_2012Metric","~"
C6 C8 ,2,"470p","Capacitor_SMD:C_0805_2012Metric","~"
D1 D2 D3 D4 D5 D6 ,6,"1N5819","Diode_SMD:D_SOD-123","~"
D10 D11 D12 ,3,"LED","LED_THT:LED_D3.0mm","~"
D13 D9 ,2,"LED","LED_SMD:LED_1206_3216Metric_Castellated","~"
D7 D8 ,2,"DFLR1400-7","Diode_SMD:D_PowerDI-123","~"
J-CV1 J-Gate1 J-Inv1 J-Out1 J-Trig1 ,5,"AudioJack2_Ground_Switch","Local:PJ398SM","~"
J1 ,1,"Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
J2 ,1,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J3 ,1,"Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
R1 R2 R3 R4 R5 R6 ,6,"33k","Resistor_SMD:R_0805_2012Metric","~"
R11 R12 R13 R14 R15 R18 R19 R20 ,8,"47k","Resistor_SMD:R_0805_2012Metric","~"
R16 R21 ,2,"100k","Resistor_SMD:R_0805_2012Metric","~"
R23 R24 R25 R26 R28 ,5,"330","Resistor_SMD:R_0805_2012Metric","~"
R27 ,1,"10k","Resistor_SMD:R_0805_2012Metric","~"
R10 R17 R22 R7 R8 R9 ,6,"1k","Resistor_SMD:R_0805_2012Metric","~"
RV1 RV2 RV3 RV4 RV5 ,5,"100k","Local:AlpsRK09K","~"
SW1 SW2 ,2,"SW_SPDT_MSM","Local:SP1MS1",""
SW3 ,1,"SW_Push","Button_Switch_THT:SW_PUSH_6mm_H9.5mm",""
U1 ,1,"TL072","Package_SO:TSSOP-8_3x3mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U2 ,1,"ATmega328PB-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf"
U3 ,1,"L7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
Y1 ,1,"20MHz","Crystal:Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm","~"
